gtin,descp,ncm,preco
07897161300116,CO ALYNE 350ML PTOS,33059000,5.667777777777777
07891035070006,POLIDOR METAIS SILVO 200ML,34054000,17.8
07896444605535,CACAROLA RAMOS H N28,76151000,47.9
07896071001656,ROSQUINHA MABEL 400G COCO,19053100,4.19
07898919635047,REFRIG PLANET COLA 2,22021000,3.88125
07891150028937,AMAC CONC FOFO TRADI,38099190,9.649493670886075
07897750780572,RODO DE PIA 15 X 12,96039000,6.989999999999999
07891022851021,ESPONJA BOMBRIL ANTI ADER EMB ECON C/3UN,68053090,2.08
07891048050682,GELATINA DR OETKER UVA 20GR,21069029,1.2681443298969073
07898930672267,ASSADEIRA WYDA RETANG LASANHA 4L,76071990,10.889999999999999
07896007801404,MOLHO INGLES KENKO 1LT FR,21039091,9.49
07898224825188,RACAO VITTAMAX NAT CAES FILHOTE 1KG,23091000,8.83
07896490290648,REFRES PO FRISCO LAR,21069010,0.8943478260869565
07501059273276,CAFE NESCAFE DOLCE GUSTO CAPUCC UND 1 X 1 200G,21011200,131.4
07896547906737,AVEIA CAMPIL FLOC GR 500G,11041200,7.630000000000001
07896046713133,PO DESCOL.CARE LISS PROT SOJA PO AZUL,33059000,3.69
07896512909831,DSP PHEBO 90ML O ROSAS,33072010,42.961
07896013106647,ST EVEN SUAVE 90G LA,34011190,1.19
07896029025321,MOLHO ERVAS F UNCLE,21039021,6.847142857142857
07896037913252,VIN NAC QUIN MORGADO BORDO  SV 750M,22042100,23.58511904761905
07891024033227,SAB LIQ INT PROTEX SOFT FLORAL 200ML,34013000,18.200000000000003
07896593401965,BISC TRIGOLINO LEITECHOC BICHO AM,19053100,1.8623232323232324
07896046713133,DESCOLOR CARE LISS PROT SOJA 20G,33059000,3
07896102505016,SELETA DE LEGUMES QUERO LT 5016,20059900,70.03483870967742
07898061707296,IOG FLAMB KIDS MORBAN 540G,04039000,4.49
07891965932146,SOPAO GALINHA HIKARI 200GR,21041011,6.7942307692307695
07898928577536,ADOCANTE LIQ FINN SU,19023000,11.69
07895155242497,PORTA DETERG.PRETO SOLIDO PLAST.UZ,39249000,9.99
07891175008112,VELA REGINA ANIV CART ROSA N 7,34060000,2.0100000000000002
07898943543813,SABAO TUCUXI MARM 50,34011900,1.99
07896080900148,FOSFORO PARANA 20UN,36050000,3.19
07892970120122,SALSICHA ESTRELA 3 KG,16010000,34.544761904761906
07891035116551,GRAXA P/CALC.LIQ.PRETO NUGGET,34051000,8.99
07896579330081,AGUA MIN.S/GAS YARA,22011000,3.201578947368421
07899026466128,ESM COLOR SUPER COR AZ BIONIC BL,33043000,3.0799999999999996
07898409951046,FERMENTO PO QUMICO F,21023000,2.79
07898633981086,OVO BIG TOY DTC LIGA,95030099,23.233333333333334
07891008123128,TABLE LEIT CASTANHA PARA TALENTO 90G,18063210,5.99
07896699025362,MAMADEIRA CLEAN CLOLOR LOLLY RSA,39249000,9.99
07891112173033,COLHER TRAM MESA LEME VDE 23183420,82159910,2.6036363636363635
07896111945834,ESM IMP PER PAPARAZZI 17070,33043000,2.88
07898928577697,ADOC PO FINN STEVIA 0 8G,21069090,6.579999999999999
07896007541874,ABS INT INTIMUS 8UN,96190000,6.29
07896495001492,LIMP VIDRO REAX CALCOOL 500ML RF,34022000,6.459999999999999
07896245705328,SALGADINHO MICOS PETICITOS CARNE 50GR,19059090,1.431216216216216
07891528038308,GEL DENT SORRISO FRESH EXTRA MINT 9,33061000,2.9721052631578946
07891000249901,CALDO MAGGI PICANHA 57G,21041011,1.5533333333333335
07891176117196,SHAM.NEUTROX S.O.S,33051000,6.99
07898141930309,OVOS TP GRANDE VERM C20UN,04072900,12.547555555555554
07894904003495,STEAK FGO SEARA 100G,16023220,4.377894736842106
07896013401834,PURIF AR SECAR AERO,33074900,7.59
